FOODID;FOODNAME;LANG
620;YOGHURT, PLAIN, BULGARIAN, 9% FAT;EN
622;QUARK, <0.5% FAT;EN
627;MILK, 1% FAT, 1 UG ADDED VITAMIN D;EN
628;CREME FRAICHE, 28% FAT;EN
629;WHIPPING CREAM, 38% FAT, LOW-LACTOSE, ULTRA-HEAT-TREATED;EN
630;SOUR CREAM, 40% FAT;EN
631;WHIPPING CREAM, 38% FAT;EN
632;COOKING CREAM, 19% FAT;EN
633;CREAM, LOW-FAT, 1O% FAT, LOW-LACTOSE;EN
635;COTTAGE CHEESE, FAT-FREE, LOW-LACTOSE;EN
636;CURD MILK, FLAVOURED WITH JAM, 1% FAT, LOW-LACTOSE;EN
637;YOGHURT, PLAIN, FAT-FREE, LOW-LACTOSE, 0.5 UG VITAMIN D;EN
639;YOGHURT, FLAVOURED, FAT-FREE;EN
640;CHEESE, WHITE MOULD CHEESE, CAMEMBERT/BRIE, 26-30% FAT;EN
641;CHEESE, TURUNMAA/OLTERMANNI, 30% FAT;EN
642;CHEESE, EMMENTAL, 27-30% FAT, RED-LABEL;EN
643;CHEESE, HARD CHEESE, EDAM TYPE, 24-27% FAT;EN
644;CHEESE, SEMI-HARD CHEESE, EDAM/KADETT, 9-11% FAT;EN
645;CHEESE, HARD CHEESE, GOAT CHEESE, 20-25% FAT;EN
647;PROCESSED CHEESE, 20-24% FAT;EN
648;PROCESSED CHEESE, 27-35% FAT;EN
649;COTTAGE CHEESE, 2-5% FAT;EN
650;CHEESE, HOME-MADE FRESH CHEESE, 9-14% FAT;EN
653;CHEESE, BLUE CHEESE, AURA/DANAZOLE, AVERAGE, 27-30% FAT;EN
654;CHEESE, GOUDA, AVERAGE, 28-30% FAT;EN
655;CHEESE, SEMI-HARD CHEESE, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI, 25-35% FAT;EN
657;CHEESE, FINNISH OVEN CHEESE, 17-23% FAT;EN
658;CREAM CHEESE, 36-44% FAT, KASAKKA/MUSTA-PEKKA;EN
659;PROCESSED CHEESE, 9-12% FAT, LOW-FAT;EN
661;SOFT ICE CREAM WITH WAFER;EN
663;ICE CREAM, CREAM BASED;EN
664;ICE CREAM BAR, CREAM BASED, CHOCOLATE-COATED;EN
665;ICE CREAM CORNET, CREAM BASED;EN
666;ICE CREAM, MILK BASED;EN
667;ICE CREAM, ARTIFICIALLY SWEETENED, 6.5% FAT;EN
668;ICE CREAM, CREAM BASED, >12% FAT;EN
669;(ARC)ICE CREAM, FAT-FREE;EN
672;MILK POWDER, FAT-FREE MILK;EN
675;MILK, 1.5% FAT, LOW-LACTOSE, 1 UG ADDED VITAMIN D;EN
680;CURD MILK, PLAIN, 1% FAT;EN
682;CREAM CHEESE, 30% FAT, FLAVOURED, CREME BONJOUR/CANTADOU;EN
684;MILK, 1.5% FAT, 1 UG ADDED VITAMIN D;EN
685;YOGHURT, FLAVOURED, FAT-FREE, PARTIALLY ARTIFIALLY SWEETENED;EN
686;YOGHURT, FLAVOURED, 7% FAT;EN
687;YOGHURT, FAT 6-8%, FOR FOOD PREPARATION;EN
689;MILK, 3.5% FAT, 1 UG ADDED VITAMIN D;EN
690;CHEESE, FETA TYPE SALAD CHEESE IN BRINE, 18% FAT;EN
691;CHEESE, EMMENTAL, 27-30% FAT, BLUE-LABEL;EN
698;CHEESE, CHEDDAR TYPE, 34% FAT;EN
699;COOKING CREAM, VEGETABLE FAT, 15% FAT;EN
701;PORK, MEDIUM FAT;EN
703;PORK CHOP, THICK LAYER OF FAT;EN
704;HAM, FATTY;EN
705;PORK SHOULDER;EN
706;PORK RIBS;EN
707;BACON, 32% FAT;EN
708;FATBACK;EN
709;PORK KNUCKLE, HAM HOCK;EN
711;PORK BEEF MINCE;EN
712;LEAN STEAK MINCE, 7% FAT;EN
713;PORK, AVERAGE;EN
714;BEEF, AVERAGE;EN
716;BEEF, MEDIUM FAT, 13% FAT;EN
718;BEEF ROUND;EN
719;BEEF CHUCK, BEEF SHOULDER;EN
720;BEEF KNUCKLE;EN
721;BEEF BRISKET;EN
722;BEEF SIRLOIN;EN
723;BEEF FLANK;EN
726;VEAL ROAST, RAW;EN
730;LAMB, LOW-FAT;EN
731;LAMB;EN
732;LAMB ROAST;EN
734;REINDEER;EN
735;ELK;EN
736;HARE;EN
737;RABBIT;EN
741;BEEF, CANNED;EN
743;PORK AND BEEF, CANNED;EN
747;BEEF JELLY;EN
748;PORK ROAST, LEAN;EN
750;CHICKEN;EN
751;CHICKEN WITH SKIN;EN
752;TURKEY WITH SKIN;EN
753;GAME BIRD;EN
754;CHICKEN STRIPS;EN
775;HAM, SMOKED, 6% FAT;EN
776;BEEF, CURED, 2.8% FAT;EN
779;HAM, COOKED HAM, 3% FAT;EN
786;LIVER, BEEF;EN
787;LIVER, PORK;EN
788;LIVER, CHICKEN;EN
789;LIVER, REINDEER;EN
790;LIVER, AVERAGE;EN
791;KIDNEY;EN
792;HEART, BEEF;EN
793;TONGUE, BEEF;EN
794;BLOOD;EN
797;REINDEER, COLD SMOKED;EN
799;HAM, COOKED HAM, LOW-FAT, 3% FAT;EN
800;BALTIC HERRING;EN
801;BALTIC HERRING, SALTED;EN
802;BALTIC HERRING, SMOKED;EN
803;HERRING, SALTED;EN
804;COD;EN
805;ZANDER, PIKE-PERCH;EN
806;REDFISH, SMOKED;EN
807;HALIBUT, SMOKED;EN
809;VENDACE, LAKE;EN
810;VENDACE, SALTED LAKE FISH;EN
811;VENDACE, SMOKED LAKE FISH;EN
812;PERCH;EN
813;PIKE;EN
814;BREAM;EN
815;POWAN, WHITEFISH, POLLAN, LAVARET;EN
816;POWAN, SMOKED;EN
817;SALMON, WHOLE;EN
818;SALMON, SALT-CURED;EN
819;BURBOT;EN
820;FLOUNDER;EN
821;EEL;EN
822;RAINBOW TROUT, WHOLE, AVERAGE;EN
823;TROUT;EN
824;FISH, AVERAGE, BALTIC HERRING/VENDACE/PERCH/PIKE;EN
825;LAMPREY, SMOKED;EN
826;SAITHE, FROZEN;EN
828;TUNA, IN OIL, CANNED;EN
829;ANCHOVY;EN
830;SALMON IN OIL, CANNED;EN
831;SARDINE, AVERAGE, IN OIL AND TOMATO SAUCE;EN
832;CAVIAR, DARK ROE OF STURGEON;EN
833;ROE PASTE;EN
834;MUSSEL IN WATER, CANNED;EN
835;SHRIMP;EN
836;CRAYFISH;EN
837;HERRING, PICKLED/SALTED, AVERAGE;EN
838;BALTIC HERRING, PICKLED/SALTED, AVERAGE;EN
844;BREAM, SMOKED;EN
845;ROACH;EN
846;REDFISH, ROSEFISH, FROZEN;EN
848;RAINBOW TROUT SEA, FILLET;EN
851;EGG YOLK, 34% OF EGG MASS;EN
852;EGG WHITE, 66% OF EGG MASS;EN
855;EGG, QUAIL, RAW;EN
856;FISH, LOW-FAT, AVERAGE, SMOKED;EN
857;FISH, FATTY, SMOKED;EN
858;EGG WITHOUT SHELL;EN
859;HERRING IN GARLIC OR MUSTARD SAUCE;EN
860;BALTIC HERRING IN DILL OR MUSTARD SAUCE;EN
862;TUNA;EN
863;OYSTER, EUROPEAN;EN
864;SNAIL;EN
865;SQUID;EN
866;LOBSTER;EN
870;RAINBOW TROUT FILLET, SALT-CURED;EN
871;SALMON FILLET;EN
900;COFFEE, AVERAGE;EN
901;TEA;EN
902;BEER, LAGER, MEDIUM STRENGTH, 4.5% VOLUME;EN
903;BEER, LAGER, STRONG, 5-5.5% VOLUME;EN
904;WINE, AVERAGE, 8-15% VOLUME;EN
905;WINE, FORTIFIED, SWEET, BITTERS, SHERRY, VERMOUTH, MADEIRA, FRUIT WINE;EN
906;SPIRIT, VODKA, GIN;EN
907;SPIRIT, BRANDY/RUM/WHISKY 40% VOLUME;EN
908;LIQUEUR, 20-30% VOLUME;EN
909;GIN AND GRAPEFRUIT DRINK, 5.5% VOLUME;EN
910;SOFT DRINK, LEMONADE;EN
911;CIDER, SWEET, <3% VOLUME;EN
912;MEAD, FINNISH SIMA;EN
913;BEER, LAGER, VERY MILD <2.8% VOLUME;EN
914;BEER HOME-MADE, ALCOHOL-FREE;EN
915;MINERAL WATER;EN
917;LEMON TEA DRINK POWDER, SWEETENED INSTANT TEA;EN
920;SOFT DRINK, LIGHT, SUGAR-FREE;EN
921;MINERAL WATER, LOW SODIUM;EN
922;WATER, TAP WATER;EN
923;TEA, HERBAL TEA;EN
924;RED WINE;EN
925;WHITE WINE, DRY;EN
926;WHITE WINE, SWEET;EN
928;SOFT DRINK, COLA, AVERAGE;EN
929;VINEGAR, WINE VINEGAR;EN
930;FILTERED COFFEE DRINK;EN
931;BOILED COFFEE DRINK;EN
932;CAPPUCCINO, UNSWEETENED, WHOLE MILK;EN
933;VINEGAR;EN
934;VINEGAR WITH HONEY AND APPLE;EN
936;WINE, LIGHT, 4-5% VOLUME;EN
937;TEA, GREEN TEA;EN
938;SOFT DRINK, PARTIALLY ARTIFICIALLY SWEETENED;EN
939;CIDER, SWEET, 4.7% VOLUME;EN
940;BEER, STRONG ALE, 7.5-8% VOLUME;EN
941;SOFT DRINK, COLA, LIGHT, PARTIALLY ARTIFICIALLY SWEETENED;EN
942;CREAM LIQUEUR, 15-17% VOLUME;EN
943;ORANGE CAMPARI, COCKTAIL;EN
944;IRISH COFFEE, 8% VOLUME;EN
945;WINE, MULLED;EN
946;GLUCOSE SYRUP, PARTLY REFINED, STARCHY;EN
947;BLOODY MARY;EN
948;RUM COLA;EN
949;SCREWDRIVER;EN
950;GIN TONIC;EN
951;TOM COLLINS, GIN COCKTAIL;EN
952;DRY MARTINI;EN
953;EGGNOG;EN
1000;RYE GRUEL, RYE FLOUR, WATER, SALT;EN
1001;RYE GRUEL, RYE FLOUR, JUICE, SALT;EN
1002;RYE PORRIDGE, RYE FLOUR, WATER, SALT;EN
1003;RYE PORRIDGE, RYE FLOUR, MILK, SALT;EN
1005;RYE POTATO PORRIDGE, WATER, SALT;EN
1006;RYE BERRY PORRIDGE, WATER, LINGONBERRY, SUGAR, SALT;EN
1007;RYE LINGONBERRY PORRIDGE, SALT, WITHOUT SUGAR;EN
1009;RYEBREAD, WATER, WHOLEGRAIN RYE FLOUR;EN
1011;MULTIGRAIN BREAD, SWEET-AND-SOUR BREAD, SOUR MILK, WHEAT AND RYE FLOUR;EN
1013;KARELIAN PASTY, RICE FILLING;EN
1014;KARELIAN PASTY, POTATO FILLING, RYE CRUST;EN
1015;BERRY PIE, CRUSHED BERRIES, RYE CRUST;EN
1017;BOILED KARELIAN PASTY, RICE FILLING IN RYE CRUST;EN
1022;BREAD PORRIDGE, LINGONBERRIES, RYE BREAD, SEMOLINA;EN
1023;MÄMMI, SWEETENED MALT PORRIDGE, FINNISH EASTER PUDDING;EN
1025;RYE GRUEL, RYE FLAKES, MILK, SALT;EN
1026;RYE PORRIDGE, RYE FLAKES, WATER, SALT;EN
1027;RYE PORRIDGE, RYE FLAKES, MILK, SALT;EN
1028;MIXED FLAKE GRUEL, MILK, SALT;EN
1030;MIXED FLAKE PORRIDGE, MILK, SALT;EN
1031;WHEAT TORTILLA, BURRITO, WRAP, VEGETABLE FILLING;EN
1032;KRUSKA PORRIDGE, CRUSHED GRAINS AND RAISINS, WATER, SALT;EN
1033;WHEAT TORTILLA, BURRITO, WRAP, PORK BEEF MINCE FILLING;EN
1035;WHEAT TORTILLA, BURRITO, WRAP, CHICKEN FILLING;EN
1036;RYE BREAD, 51% RYE;EN
1056;WHITE BREAD, PITA BREAD;EN
1100;WHEAT GRUEL, MILK, WHEAT FLOUR, SUGAR, SALT;EN
1101;EGG GRUEL WITH MILK;EN
1104;WHEAT PORRIDGE, LOW-FAT MILK, WHEAT FLOUR, SUGAR, SALT;EN
1107;WHITE BREAD, FRENCH BREAD, LOW-FAT MILK, WHEAT FLOUR;EN
1108;WHITE BREAD, WHEAT ROLL, LOW-FAT MILK;EN
1111;MULTIGRAIN BREAD, FLATBREAD, LOW-FAT MILK, WHEAT AND RYE FLOUR;EN
1132;DANISH PASTRY, LOW-FAT MILK, 20% FAT;EN
1139;DOUGHNUT, LOW-FAT MILK, HOME-MADE;EN
1150;BAGEL, SWEET, LOW-FAT MILK;EN
1160;DOUGH, UNSWEETENED;EN
1161;BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK;EN
1162;BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK;EN
1163;BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK;EN
1164;JAM PIE, BASIC SWEET DOUGH, LOW-FAT MILK;EN
1165;JAM PIE, BASIC SWEET DOUGH, FAT-FREE MILK;EN
1170;APPLE PIE, BASIC SWEET DOUGH, LOW-FAT MILK;EN
1173;QUARK PIE, BASIC SWEET DOUGH, LOW-FAT MILK;EN
1179;BERRY PIE, SHORTBREAD CRUST;EN
1180;BERRY PIE WITH SOUR MILK, SHORTBREAD CRUST;EN
1181;JAM PIE, SHORTBREAD CRUST;EN
1182;RHUBARB PIE, SHORTBREAD CRUST;EN
1183;APPLE PIE, SHORTBREAD CRUST;EN
1184;QUARK PIE, SHORTBREAD CRUST;EN
1185;APPLE PIE WITH QUARK FILLING, SHORTBREAD CRUST;EN
1193;SWISS ROLL DOUGH, UNSWEETENED;EN
1202;TOSCA CAKE;EN
1204;SPONGE CAKE, BERRY AND CREAM FILLING;EN
1206;SPONGE CAKE, CARAMEL CAKE WITH WHIPPED CREAM;EN
1207;SPONGE CAKE WITH CUSTARD;EN
1208;SPONGE CAKE, FRUIT AND CREAM FILLING, GELATIN TOPPING;EN
1218;CARROT PIE, BUTTER DOUGH;EN
1220;MUSHROOM PIE, BUTTER DOUGH;EN
1221;VEGETARIAN PIE, SHORTCRUST PASTRY;EN
1223;THIN PANCAKE, LOW-FAT MILK;EN
1228;BLIN WITH LOW-FAT MILK, BARLEY FLOUR;EN
1231;OVEN-BAKED PANCAKE, LOW-FAT MILK;EN
1239;WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR AND FAT;EN
1242;WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR;EN
1243;SAUCE VELOUTE, MEAT BOUILLON, THICKENED WITH FLOUR;EN
1244;BROWN GRAVY, THICKENED WITH FAT AND FLOUR;EN
1245;THIN BROWN SAUCE WITH CREAM;EN
1246;HOLLANDAISE SAUCE;EN
