FOODID;FOODNAME;LANG
453;SAFT, ÅNGAD, OUTSPÄDD, SOCKERFRI;SV
454;BÄR, MEDELVÄRDE;SV
455;HAVTORN, FINNBÄR;SV
456;BÄRMARMELAD;SV
457;RÖNNBÄR;SV
458;SAFT, SVARTVINBÄRS-LINGONDRYCK;SV
459;SAFT, LINGONSAFT, OUTSPÄDD;SV
461;SAFT, ÅNGAD, UTSPÄDD, SOCKRAD;SV
462;SAFT, ÅNGAD, SVARTVINBÄRSSAFT, UTSPÄDD, SOCKRAD;SV
463;SAFT, ÅNGAD, UTSPÄDD, SOCKERFRI;SV
469;JUICE, FEM FRUKTERS JUICE, VITAMIN C;SV
471;ANANAS, KONSERV, I EGEN JUICE;SV
472;ÄPPELMOS, OSÖTAT;SV
473;FRUKTDRYCK, NEKTAR, FRUKTHALT 50 %;SV
474;JUICE, BÄRJUICE, OSÖTAD;SV
476;SYLT, SÖTAD MED FRUKTOS;SV
477;MELON, NÄTMELON, CANTALOUPE, SKALAD;SV
478;BÄRJUICE, NEKTAR, BÄRHALT 50 %;SV
500;SMÖR;SV
501;(ARC)MATFETTSBLANDNING 80 %;SV
516;BAKNINGSMARGARIN 80%, SUNNUNTAI, FÖR BAKNING, LAKTOSFATTIGT;SV
528;(ARC)FLOTTYR 100 %;SV
529;INDUSTRIMARGARIN 80 %, KAVLING;SV
530;BAGERIINDUSTRIMARGARIN 80 %, BAKNING;SV
531;MATOLJA FÖR LIVSMEDELINDUSTRI, 70 % RYPSÖLJA, 30 % PALMOLJA;SV
535;RYPSOLJA;SV
536;OLIVOLJA;SV
537;JORDNÖTOLJA;SV
540;SOLROSOLJA;SV
541;MATOLJA, MEDELVÄRDE, 87 % RYPS-, 8 % SOLROS- OCH 5 % OLIVOLJA;SV
542;SOJAOLJA;SV
543;MAJSOLJA;SV
550;STEKFETT, ISTER;SV
552;KOKOSFETT 100 %;SV
553;TALG, RÅTT NÖTFETT;SV
562;MAJONNÄS, HAMBURGAREDRESSING, 60 % FETT;SV
563;SALLADSDRESSING, FRANSK, INNEHÅLLER SENAP;SV
565;MATFETTSBLANDNING 40 %, LÅG SALT- OCH LAKTOSHALT, KEVYT LEVI;SV
568;MARGARIN 60 %, RAINBOW/PIRKKA/ELDORADO/K-MENU;SV
570;MATFETTSBLANDNING 40 %, LÅG LAKTOSHALT, KEVYT LEVI;SV
572;(ARC)MARGARIN 40 %, LÄTTA;SV
576;SMÖR, OSALTAT;SV
578;MAJONNÄS, 27-33 % FETT;SV
