FOODID;FOODNAME;LANG
476;HILLO, FRUKTOOSILLA MAKEUTETTU;FI
477;MELONI, VERKKOMELONI/CANTALOUPEMELONI, KUORITTU;FI
478;MARJAJUOMA, NEKTARI, MARJAPITOISUUS 50 %;FI
500;VOI;FI
501;(ARC) RASVASEOS 80 %;FI
516;LEIVONTAMARGARIINI 80 %, SUNNUNTAI, VL;FI
528;(ARC) SYVÄPAISTORASVA 100 %, UPPOPAISTORASVA;FI
529;TEOLLISUUSMARGARIINI 80 %, KAULINTAMARGARIINI;FI
530;LEIPOMOTEOLLISUUSMARGARIINI 80 %, LEIVONTA;FI
531;RUOKAÖLJY TEOLLISUUSKÄYTTÖÖN, 70 % RYPSIÖLJYÄ, 30 % PALMUÖLJYÄ;FI
535;RYPSIÖLJY;FI
536;OLIIVIÖLJY;FI
537;MAAPÄHKINÄÖLJY;FI
540;AURINGONKUKKAÖLJY;FI
541;RUOKAÖLJY KESKIARVO, 87 % RYPSI- 8 % AURINGONKUKKA- JA 5% OLIIVIÖLJY;FI
542;SOIJAÖLJY;FI
543;MAISSIÖLJY;FI
550;PAISTINRASVA, LAARDI;FI
552;KOOKOSRASVA 100 %;FI
553;TALI, RAAKA NAUDANRASVA;FI
562;MAJONEESI, HAMPURILAISKASTIKE, RASVAA 60 %;FI
563;SALAATINKASTIKE, RANSKALAINEN, SISÄLTÄÄ SINAPPIA;FI
565;RASVASEOS 40 %, KEVYT LEVI, VÄHEMMÄN SUOLAA, VL;FI
568;MARGARIINI 60 %, RAINBOW/PIRKKA/ELDORADO/K-MENU;FI
570;RASVASEOS 40 %, KEVYT LEVI, VL;FI
572;(ARC) MARGARIINI 40%, LÄTTA;FI
576;VOI, SUOLATON;FI
578;MAJONEESI, RASVAA 27-33 %;FI
579;SALAATINKASTIKE, RASVAA <17 %, VÄHÄRASVAINEN;FI
585;VOI, VOIMAKASSUOLAINEN;FI
586;(ARC) RASVASEOS 80 %, VOIMAKASSUOLAINEN;FI
593;LEIVONTAMARGARIINI 80 %, PIRKKA/RAINBOW;FI
597;RASVASEOSLEVITE 75 %, TUOTEKESKIARVO;FI
598;VOIÖLJY 100 %, MAITORASVAA;FI
599;(ARC) KASVIRASVALEVITE 32%, BENECOL KEVYT;FI
600;MAITO, TILAMAITO, RAAKAMAITO, RASVAA 4,4 %, EI LISÄTTY D-VITAMIINIA;FI
602;TERNIMAITO;FI
604;MAITO, KUTUNMAITO, VUOHENMAITO;FI
606;MAITO, RASVATON, D-VITAMIINIA 1 UG;FI
611;PIIMÄ, TALOUSPIIMÄ, RASVAA 0,8 %;FI
612;PIIMÄ, RASVATON, D-VIT 1 UG;FI
613;PIIMÄ, KIRNUPIIMÄ;FI
615;KERMAVIILI, RASVAA 10-12 %;FI
616;PIIMÄ, ASIDOFILUSPIIMÄ, RASVAA 2,5 %, D-VIT 1 UG, PROBIOOTTEJA;FI
617;VIILI, MAUSTAMATON, RASVAA 3,5 %;FI
